content,sentiment
hair fire right ewww smells,neutral
im slightly disturbed hollyoaks tonight really dont think something shown pm,worry
jeffsays yeah precisely thinking,worry
got notified podcast accepted itunes httpbudurlcomsbit course realized miss formated fixed,neutral
working graduation shame,sadness
waited long buy pink tickets going nose bleed sad taking binoculars,worry
spent hour trying get newborn bird front garden fly poor baby success,worry
rubymay httptinyurlcomnakq lt cute currently ymas pumping full blast dont know revise comms,surprise
omg thats say,surprise
argh dont feel good,worry
lifs unfairluk wat frendi hating,hate
spgridview looking prettier im pretty sure code ugly,sadness
feeling effects spring sinuses killing,sadness
tomato soup tastes like red peppers,worry
soo sad mcmcbuddy thinks look like could little rainbow like burritos ok burritos,sadness
lisajcopen sorry bad week feel like could get good sleep would much better fog,worry
lonely lonelyyyy fempi plz come back,worry
brit def see ya tonight must get rn photos didnt get yesterday lol thanks please dont forget,surprise
knightedbishop endodontist able without removing hope ceramic crown doesnt shatter time later,worry
still raining least cute rainboots,surprise
sun came pray guys writing skills test pass class graduate,worry
justlikeanovel aw could played penis game morning nobody else wanted play,neutral
timberland lmao know know,neutral
today nice positive fun day several weeks bum days,relief
one loves brittany forgot flowers,sadness
bopandtigerbeat love boys missed chat yesterday firts amp one ill miss though lt nick jonas lt,boredom
austincarlile im sad want go sd zoo say hi giraffes elephants polar bears,sadness
icklemonkey photoshop wont let save anything due disk error blend took hours,worry
actual gon na need new job want,neutral
debbieseraphina effective stuck either sit let cramp lie pay consequence later eeps,hate
schwarzenegger proposes closing state parks httpbitlymhkz,neutral
look like schuhz arabyrd,neutral
really feelin well,sadness
mcdaydreamer someand best friends go schoolthe others change schools,sadness
dad see sad mom come,worry
orbitaldiamonds awww bb sound lonely want drive therefly snuggle,love
think june gloom arrived,sadness
katarinasmama way fast,surprise
shadowsforsale,neutral
wheres phone,worry
homey missed da bus,worry
joidlove got ta b talkin bout clubbin cant b talkin bout moviesdinneror hangin,neutral
letsocietydream think would die played pushit missed came last time isis toured,worry
heathervescent sorry didnt get see,worry
sheszladii lol girl video disturbed love hk theme cute,happiness
woke boxes ceiling cant find yerba mate coffee beans,worry
wow install twitter fox tired keep refresh browser,hate
advice dont pressure wash foot hurts worth really want skin foot fyi ow,sadness
feel like junkie live chronic pain disorder fentanyl morphin nice really sucks,worry
claytoncalhoon know huh,surprise
angelabc hi angela check email need one thing sorry day,worry
pastimedaily oh dear boyle staying,neutral
today go slower time dragging,sadness
itsaimee sorry thats probably fault,worry
urghh im gon na project dont wan na waste valuable weekend time,sadness
cuterain following followers nice,sadness
lcpromotions doubt boo always leave behind awesome roadtrips,sadness
mileycyrus httptwitpiccomutj poor thing,worry
silverybeing hug,love
anyone yucky new throwback pepsi mountain dew yet plan keeping around drinking,sadness
okim jealousi wish bed,neutral
juliusbeez im heterochallenged still didnt care quotmilkquot thought boring,boredom
shoutout denzelburks starvin like homeless cambodian kids lmao,worry
maestro wanted dm back couldnt cuz following thankss anyways maybe ill see ya around elleay,sadness
batbuick great buy lunch get pay cut next month,neutral
imreallydope phone isnt working,worry
almost ready new beta found showstopping bug please standby,neutral
ran accela unit tests first time years failed,worry
hettychrist fav since little gon na storm,neutral
torreyryan yeah thought little warning guys dont miss shifts dayswk break thats sure,worry
craign surprise probably dont know,surprise
nickcarter says quotthis video privatequot wtf,surprise
wants meet bill,neutral
sad tea oatmeal cold,sadness
fareforward need go bike ride,empty
abhorrentbm lame said hello,surprise
vronmcintyre want espresso machine,worry
highrawfoods sorry,worry
dido quotus little godsquot httpowlyuin quotjust moment let stop ive fillquotwords make panic,hate
catashton ermm like full black upper half completley grey,neutral
nigganelle yeah feel anything remembered looking loopt phone nigga coughin,neutral
bernadinee thank ur gnite thank ur photo sims heart broken,worry
detrick hey glad friday happy ate bad apple,happiness
finished new moon woo want next one,happiness
sitting garden mummy also got text boy thought got hint obviously,happiness
bcran well see craig might hog u guys haha work till tonight anyways,worry
danny cut beautiful curls,neutral
saw half rro staff walk bysadly didnt see legmar mtacheme,worry
almost lunch time,neutral
im sad right becuz lady,sadness
httpbitlynyhmz dionusia made,happiness
wants goto lonovala frenz weddingbtno transport arrngmnts wrkg,sadness
niftybitch time leave passive agressive note owners dogs fault shitty owners,worry
lonely days trizia baguio httpplurkcompxapl,sadness
yolonda went swimming phone beach lol lost contacts,surprise
chantelmybell thats buenohope u feel better,worry
soim guessing bgn,surprise
feeling like bum recession dont try call text,worry
boykillboy know feeling,relief
xxmolliexx mean someone hit dog car laying,worry
nice come business meeting feeling desired amp valuable come date like go date,worry
teh hahah valley thats cool valley texas valley likerio grande valley ahhaha wish lived california valley,relief
much buying awesome new phone sony ericsson berryd like everyone else,happiness
got dreaded call babysitter little h bumped head sitter says shes fine goose egg going fast,enthusiasm
boo listen,neutral
jaymckenney gosh im sorry man ill hope good news,worry
trying stay upbeat wait get keys locked car,worry
want rain go away much lately,neutral
carothenyx aww im sorry im home hope ok love ya wifey lt xx,sadness
getting nerves cant change pic,hate
running around town kathleenshes leaving month,sadness
got insurance forms polo feel bit done though,worry
mommypages wish cosicols didnt close,worry
wow kinda bothered jon deposits apparently keeps getting fucked times deposits hard,boredom
got home big shop totally munched starving im weigh morning oops,worry
impossible watch full flash video mac,sadness
suchatease,happiness
really ill well weeks ive got bad viral infection,worry
want dog cat something want something unconditonally love thats materialistic family memeber,neutral
dollhouse saved coming back another season bad scrubs isnt,happiness
loves using remote access use desktop laptop back emerge,love
going tmobile need new phone g working anymore,worry
renay poor kitties theres nothing done hopefully youll least able find good home,neutral
christinahz wayyy thats funny well sure missing ever since left feel next visit,love
dysonrules dont make smite yeah micolerose yeah really cuties,neutral
teelajbrown know list miss bc conflicting plans go,sadness
grumbleweather man dont know wtf talkin,boredom
incredibly worried stanley,worry
hour walking hot weather satisfied hurting nellie ow blisters,relief
emz gutted hollyoaks xx,neutral
ha hajust found new cocktail dances wenches cranberry juice spiced rum sounds nice dont cranberry juice,surprise
thnk ima cry feel rlly bad,worry
ok ff soooo isnt anyone following meeee lol ughhhh lazy followers wont even help,neutral
watching final episode boys flowers,sadness
ashmohazel immackmaine itserincharde brando hey guys invite outmoody friend days,surprise
im held captive day freedom,love
hey socialmediatv ugh way videogtblah pouts social media tv live gt httpustreamnjv,sadness
pumped bummed time,sadness
st said yes looks like scratched plan bc supply demand travoloso,neutral
tonight last night jay leno gon na cry like baby,sadness
shouldnt sit weirdly pc know im going hit deck get,enthusiasm
missing someone haayy httpplurkcompxavn,worry
mischievousmel please send youtube links erin watched cooking didnt get see cowboys,neutral
fishieee haha itll gross time comes back tell well yum vancouver malay spot soon go indian,happiness
hottsnowflake never smh dont flats lol,neutral
grentone content content content gah story life right thx reminding thats v tweeting,neutral
dnt get go play lasertag w besties old mes dead gone,surprise
lancearmstrong want massage,happiness
bloody sunburned,worry
jclayville feel pain lived apt mos previous tenant cats burning eyestight lungs gregg,sadness
twpp still nw trending topics,neutral
fletchernet help represent high profile actors tvfilmtheatre careers get free tix jersey boys,surprise
dan child miss havent msned days,sadness
adellecharles sorry youre upstate ny chilly weather really surprise fl much better amp panhandle doesnt get hot,neutral
oh opera google friendly weeps,worry
starting spoil pug since brother max passed away tuesday miss,worry
caroljs warren died hannah killed im gutted love warren even nasty,love
tummy hurts oh noes,hate
jennytornado damn want see movie sooo bad dont tell anything hehe,worry
sad casue everyone going seperate ways never going see friends,sadness
keylahtia yes im starting feel effects humidity,worry
annoyed overwhelmed,worry
wish would rainbut wont,sadness
retrorewind dave cant happen im working listen whining big time,sadness
unmarketing fun idea saw clothing would really look slouchy would buy think people r buying dream,sadness
really sick,sadness
never answer back,worry
alligood sorry hear kiddo hope feels lots better cast,worry
alauderdale smh playing dress lol cant see vid though working,neutral
potluck danielle taking veggie tray miss,worry
cowgirlnchaps would fun much enough time money,neutral
wow slept till pmagain good job,surprise
hes,sadness
coachdeb im game bad leaving hi,worry
specially youre already burneded wore mums shoes well im blistered sucks balls,hate
katie dont get anymore,worry
go buy deck sleeves x card pages man pages expensive stupid organizing collection,enthusiasm
californias budget deficit billion means big problems lots cuts including state parks,worry
burned tongue workkkkkkkkkkkkkkkkk,sadness
batxcore google maybe actually knew answer lol ps put uo pics already last night im getting anxious,surprise
kissofjudas lupos bit far methinks luv theyre hour way providence love providence,worry
site first date macris deli closed lunching favorite local greek spot trojan horse instead,neutral
soooo hungry right lunch time,sadness
pool orlando got new kicks going seaworld tommrow miss best friend,sadness
btocher httpbitlytvers ever night didnt meet ended possibly best pizza side chicago,happiness
bored always much fun companion missing bff alreadyyyy,sadness
yay friday boo im broke dosh,worry
derrenlitten itv plugging special lot great night miss tweets come back home,relief
made okay rap mix couldnt stuff wanted im getting ready leave,sadness
jus skinned knee wat hurts lyke hell tho always tha little ones hurt tha,sadness
sad come pooch hall game accepted friend request facebook yet,sadness
need go bank,love
live pv migrates vmware vsp exams magento config quiet weekend party central,happiness
isacullen want,happiness
caseywright acai emailsyes tons,neutral
onchmovement oh sick im feeling kinda sick im hating overcast weather,worry
evylove ff,worry
mamagaea sorry hear dude probs thats much,worry
gon na arthroscopy repair knee,worry
melissa yeah stomach bug something fever etc fun,worry
woke came realization put much want need drop friends dammit,sadness
pinkberrygirl aniya wasnt,worry
another interview please somebody hire im late,worry
sigh metal friends keep planning stuff sunday afternoons im work feeling like im losing touch,worry
imalexevans wish could go gym,neutral
xchikax wish,surprise
life sadjust reminder go phone recharge toothbrush,sadness
im depressed againugh help,sadness
well good thing march wasnt long didnt like itcuz deleted ugh,hate
dewzpingpong oh male strippers lmao,surprise
low point poor pigeon outside building isnt capable flying wandering sidewalk sad,worry
jackieamodeo weird trigger definitely ask monday dude shitty,neutral
nettuts cant wait long,worry
jpaola money honey hehe soon sorry,sadness
jpl sorry seen strange seems happen iphone perhaps problem twitterific,fun
one last stop chicago going back miami,neutral
shaniquadenise sooo lucky fiance away wthe marine corpshavent even seen yet,sadness
looking forward driving storm,sadness
jermsorensen yeah shes screwed new tires new turbo maint paid shell get almost nothing,surprise
dont like sick guidance counsellor supposed take kids school bowling amp pizza,sadness
reel big fish cover ednas goldfish,worry
putting quotsuitquot ampdont mean jeansamptampheading ttown deal w family emergency plez pray us back p god willing,worry
wow pancake mix,surprise
xnicoleex yeah sorry busy last night ill try go next week,sadness
hank hey link didnt work,surprise
mix galaxy weekend loved friday show sweet make one listening,love
hate riding bus damn sauna summer like could kill guy seats shower month,hate
shit back home tallcree rez cant see boyfriend,sadness
cried whilst watching hollyoaks need life lol,sadness
somebody accidentely sleep hours instead cant hang work blows sorry andrewjones schmidtfaced,worry
transition time tonight work night shift woke,neutral
twistedjo mask nonexistent mo charis didnt send one amp havent bothered make one im wearing boy clothes,worry
httpbitlyjov genius looks good bret lov cancelled concert france ready men,love
itsonlytuesday would wasnt working today,sadness
poor goose,worry
tashababyyy im getting weekend aw really want,happiness
cocoacast need move ny sanfran seattle get worthacrap internet speeds,love
head throbbing lack sleep still mucho work doesnt feel like friday,worry
week one day go,happiness
got back lunch feeling like nap order work press,relief
skewp miss babies together haha im dreading taking kennel,sadness
work booo,neutral
melissaha kidding az landmark kinda news makes sad,sadness
geektoad woot lol gon na hard send one back,worry
amberbenson raining wish wasnt,sadness
philcanty,neutral
ate many kisses,neutral
im soooooo sleeeeepy last day school todaysniffle,relief
cv dunnotipsy gave everything st set still lostnot sure mental state injury bad timing,worry
return sideways fuck meds bills,hate
fairychica aw stinks im sorry,empty
less month im done high school ohh friends,worry
amberbenson raining days,neutral
im stats im bored tireed,neutral
whew end going mugglespace apps youtube haha one days guess really hate ill,sadness
ready saddenning depressing dullful upsetting dreadful weekend,sadness
xolotl ohhh ok like frustrating hands g iphone last week upgraded couldnt unlock,worry
xiannic awe work bbq moi weekend,surprise
dishesi miss kitchen team,sadness
victoryhawk darn bacon,sadness
month old african grey parrot sad sale reptile forums uk httpbitlygrrda,worry
russfischer man wish still lived near drive perfect movie experience,worry
sitting boring ass litterature listening jack johnson missing gf soooooooooooooooooooooooooooooooooooo much,worry
terrible headache need relief,worry
waaa octo drive cant go,sadness
sooo tired wish time nap work,worry
day without shower end sight stuff toes,worry
jordanohlin happened winston,worry
misscritta know considering ive bought lot new yarn recently think necessary time,neutral
missed massage appointment maro needed,worry
peeperrzz urghhhhhhhhhh makeing cry,worry
aboveallfabric agree married yrs th move blah,neutral
anonymousny closet situation close except closet located near nyc,worry
ah shit chest hurts,sadness
filos im thinking dawn shot carlingford lough sun right place time year involves early rise tho,fun
schoool needs end work tonight hittt lt,worry
fuck traffic going late,worry
workboyz make sick,worry
hates broken wrist pe next ugh,hate
gon na get day found im stayin til,surprise
got deadline meet tgif,neutral
rain must come quotafterquot flat iron hair rockin curls weeks today decide come nice,sadness
emuhleepee,empty
ii wan na go home thee weekend ii gas sukks,sadness
great lunch baby bulls time work til,neutral
help think benmarvin crazy funny cant give favrd stars please help get unblocked favrd star,fun
enough pizza ordered didnt get pizza delight,surprise
still hoping job strep looks like wont looking around places next couple days,worry
razeiger think taylorswift missed tooo,love
yay playdate back vans transmission dead,surprise
bet black planet lol didnt problem ugly,hate
bored chem n im super hungry ugh,hate
gcse level work least x better degree work oh uni,worry
cancelling javaone httpffimnzth,sadness
srslyjustsayin saw stalkerishly elevator brookie eating moracca go,relief
bored tired got headache,boredom
criscokidd picture made cry lol httpwwwtwitpiccomw,love
spring cleaning httpmilliontreesnycorg tomorrow park want go clean accessible public transportation,sadness
says misses cousins badly httpplurkcompxbha,sadness
going clean room thats hard keep room pretty clean reallyanyway could still better things,neutral
robertsemma dont reply none fans dont know trust,sadness
bookwormlady well,empty
tsastring fun show tonight wish could,relief
lol see sunburnnn achurley bad least dont think xd httptinyurlcomnjubcl,neutral
finally home tp tetep kurang bt buat shooting kamis nih huaaaa stress gila syapa lg ya,relief
kimbermuffin,empty
omgitsafox could wont get time vegas trip ill still look like noob,worry
arianmariemy heart goes,love
appreciation lunch work good food sucks day lol,enthusiasm
make worse friends party tonight im stuck havent seen months,worry
burning cds fucking outa blank discs,surprise
gawd im tired still move new place pm cause work stressed fb,hate
nellcon full day activities lol,neutral
cupcakenyc hey sweetie cnt go fri thnks much,love
loving sunshine wish poor richie would feel better,love
sandyvanessa awwh im sorry wont much longer,sadness
nickcarter video private cant see,neutral
didnt post new song today try post tomorrow,worry
itserincharde yea afterthought,neutral
got back pool need ice knee,worry
kellyfahl psych better neuro least better part town miss,worry
fuckin tired didnt get home till work bjs,sadness
says goodmorning httpplurkcompxbm,enthusiasm
heyy watching simpson shezza paula,worry
tashas really bad haircut shes treated skin cancer shaved neck tail httptwitpiccomzy,worry
internal fuse either poop might get spare loft although might job people,worry
mellabella lived usa would gotto go park aunty lives nyc bronx grrr,neutral
aaggh blackberry curve took gash screen day get invisible shields stock well itll good advertisement,relief
yay nice weather boo cici weekend,neutral
spose going party tonight gues im sick grrrrr,worry
feeling sorry ian broke gf feel reali sad cos feels wish give huge hug right,worry
memphianmallory traumatic even discuss none yall everyone left weekend,sadness
hindupez maybe jd help dont know though ask,neutral
hotnizz wah sayang,love
sctest,surprise
jamespenycate massive beer guardian huuuge told already dont trust,surprise
yukihoang dream u didnt like,worry
steveserrano adoreeeee matt nathanson jealous right,worry
jamesmurphy anything sell album poor thing,worry
thinks something okay goodluck ako httpplurkcompxbnl,neutral
livvixo god need revise today im lazy,worry
vancesa oh poor cars testicles,surprise
im sooo sore back hurts legs weak im dehydrated go set moms furniture gay,sadness
got go shopping wife tescos knew day going well,happiness
randazzled phne blocks text,worry
stupid idiot ran stop sing almost killed car,hate
ropiko also tired,neutral
sleeping cousins house weekend bugzy,neutral
laptop pooped new harddrive needed using dhs old pc maybe offline damn bsod happened many times safe mode,worry
lonestar pitchers mugshotsaustin wasnt still recovering last weekends bout irresponsible gluten consumption,worry
saved buying couch going towards paying visit er uti,relief
realised many people interested business twitter want heard online nothing,neutral
rose city sirens uber cool last night wish could stayed longer,sadness
listening heart aint brain chris brown httpplurkcompxbp,neutral
stood curlers burnt burnt hand picked,sadness
motleysis got cars lost job used make good money works mcdonalds nobody hire,worry
wondering happened sun damn may grey,sadness
im feeling nostalgic im sad happy dont feel time feels love,sadness
sprinkling outside hope doesnt rain game,worry
fuming ebay purchase gone bad outta nothing show amp,sadness
eddievedder luck u arent coming detroit luckily ill seeing u crew chicago,sadness
nothing lol,sadness
cathiria im probably next week though,neutral
brookenichole miss earrings lol let know close,worry
jovialhoney guys adopt yall always fun stuff yall take trips miami go arkansas,sadness
wish sun would shine wont,sadness
chrishornby im ill attempting remember lots nothing going,sadness
cried eyes watching girl last period hahah,sadness
signed japanese clark college night class kameisensei two days week kuso,love
kingdingaling wendi leavin bc racists starts cryin,sadness
bother ing celebs eh cause almost like talking,hate
wishes realized wife hadnt held onto debit card took long walk get lunch grrr,neutral
maxinefrances ah cbeebies epg chance hehe need pinkyponk crash warnings journey home long,surprise
gain weight lost pounds want back im im yrs old healthy,worry
im hungry cant eat anything right tongue hurts bad,sadness
jerseymaids oh man hope guys werent shaken bad,worry
abraham funny,worry
eurgh revision invented history,neutral
im putting anything,neutral
lowenstein jermbob ill update leave vet tests xrays,worry
nica announced last days due cancer think,surprise
theyve changed soap mens loo doesnt smell marzipan anymore miss marzipan soap,worry
hey guys im back work kinda horrible,sadness
know never wan na hurt,worry
everyone another hater wehatemileyc,neutral
oh play cluedo,surprise
eogasawa psh im cool enough go openhouses,worry
really hate revision,hate
aww friend called said got better job wont working anymore,sadness
doesnt know pimp twitter page,neutral
saucewear btw shirts shipping ran stock one size ordered quoti famousquot sorry,worry
smell cake dont see cake oven,surprise
leaving sf soon might cry,sadness
grantimahara man months get see drunk tweets,happiness
daisy got attacked another doggie park,worry
webcams hoepfner burgfest karlsruhe automatic reload fail httpbitlyvdtvf,neutral
better physics revision x,neutral
okay want screamidk one doc done days weekrrrrr,hate
need restful weekend work instead,sadness
hairspray hair lighterampbong new haircut,neutral
mraeannon thank u know ill miss u ill take pics soon get need email txt something,sadness
working damn financial project definitely fun weekend want spend wit baaaby waaaah,enthusiasm
im well exited weekend partaaaay although dont want go back school tuesday,relief
hearted happened often hated every time moved username thought id love moved soon,surprise
hey ugh im sick summar,hate
cassiekitsch okay rose told phone shut might moving back spokane going,neutral
min brake wrrkk,boredom
avweije yep im going better,neutral
tour got canceled,neutral
petewentz im jealous want octo drive,sadness
yaaaaay friday oh wait im working tomorrow,fun
work ohwell need money,neutral
sambennington although wear sunglasses see uncomfortable felt poor sam,worry
shebangz damn lolwhere u headed,surprise
leo carillo beach rogers state park list state parks might close httptinyurlcomlhqgs,neutral
rantingteacher rather omg nearly monday,worry
unitechy shadez mine twpp shadez,fun
spent minutes looking aud,worry
rizzzky hes retiring tonight show im bummed awesome ha congrats dear,sadness
hereprettykitty mustve read mind going thunderstorming pick boys bus stop,sadness
sophielovemcfly see faces thing xx,neutral
anddd justin eff,surprise
must stop using lol much crap,neutral
ough shower toes feel horrible socks think still bit wet,worry
marebear u try taco n mac n cheese pizza im cravin right good food makes sick,surprise
ptwaugh xbox broke hope enjoy playing vs waslooking forward,sadness
stargirlreads cantttt grandparents,sadness
ok everyone im stuck bored ill,sadness
downside getting tdl days early wont time read til next week anyway still hurrah clutches close,sadness
blackheartbunny nope,neutral
overthought tying shoe couldnt figure,worry
oh fuck ive returned supermarket doom find nothing drink,hate
come cold days ago wicked nice feel like need winter coat back,worry
never made gym blowout sans thong wearing company phew bummer missing workout,worry
glorious week best holiday ever think dont want go home morning,happiness
tummy hurts,worry
hangin fam head hurtin,worry
hmxcasey sorry,sadness
fatzgalore aaaw bad im good mood phone someone lol,happiness
sirgarde hott africa lol yeah hot big storm,worry
st presentation senior boards fml,surprise
meinj wish stuck pile boxes sore back load tesco blue shopper bags fill kitchen,worry
katschio completely enraptured fascinating updates testing oh waityeah work course,sadness
tinchystryder last ever uk tour x,worry
miss billiesyadrie im sorry able call u already sleep love youhave great trip tomorrow send,sadness
crap nearly forgot pin shouldnt try learn anything new future lest push vital information,relief
school victoria amp bryan school soon sadd,sadness
eastcoaster funkydung doh im inside job lolzor,happiness
got right bad headache,sadness
welshracer loved mini,love
lizridley better people dont know autumnrose youre going chiodos tonight right kill something,sadness
paulmcgwinn could really fancy nap right work feel nap wasting evening,worry
laurenglennon sorry listen bats gd dude never got tell bats amazing lt,happiness
oh one monitors act deadline oh im unhappy camper,sadness
doesnt twitter extend number limit littttttle bit atleast,surprise
britney g allan allan favs think town,surprise
contemplating getting hair cut severe anxiety,worry
brieasaurus guess cooler tony hawk never replied,worry
poynterperve know got ta wait earl think late wrong,neutral
stupid recall car,worry
finally home decides time work friday long weekend apparently client,neutral
got home work feet killing,sadness
less min lost followers,sadness
reemerband hiyaa tour really disappointed couldnt make hope dandy xxxxxxxx,sadness
addin last comment spose going see jonas brothers movie guess couldnt go aswell cos im sick,worry
right anyone know episode bones showing sky tonight pm programme synopsis available box,neutral
work really slow beautiful day friday,relief
lovehateenvy come dont think good,happiness
aminakader thoughts exactly,neutral
aptc walking home fell ground,worry
bugger forgot still washing machine,worry
last time drama room,neutral
andysquirrel still lived way could pop see dont cant,relief
katiekilljoy wan na play tonight pout pout side face,sadness
gon na super long day,worry
jus sittin da libray stupid computer wont let order mac foundation,boredom
spinachpuffs yeeeeah seen empire top computer games httpwwwempireonlinecomgreatestgames,happiness
swolen shitt boo hoo,hate
jon amp kate kids attracted huge tv audience tabloid headlines state labor investigation httptinyurlcomlzt,happiness
sheenstar dont get excited bby hear thunder rolling,empty
petshoptype yes theres strange infection body thats causing sicker need fever,worry
timkealey wong,worry
nothing like getting work finding cover extra shifts week looks like another hr work week,sadness
doesnt wan na get dressed adult today,sadness
half wants go sleep half dosent shoot half dying sleepiness,neutral
davidarchie haha gon na awhile til comes sweden think,happiness
theallianceguy thankies btw part scotland live never got visit uk lived europe,happiness
reavel would thing pero la lavadora se daï¿½o,neutral
teamqivana longer biz together one thing survived marriage good inlaws though,worry
trying find friends luck,worry
feelin little blue tonight love might good,love
giordanobc know feel takes far much time life,sadness
davidlem meetings right afternoon started fill,neutral
want followers,worry
ah haha omg fudge grahmcracker cookies boo,surprise
spinachpuffs yeeeeah intro seen empire top computer games httpwwwempireonlinecom,happiness
thrilled marathon sunday assigned street less,sadness
want new lappytop site says wont till,sadness
margjoc haha aware one contracts uti training work tomorrow morning go bed early,happiness
dejongrant accidentaly slammed finger trunk,hate
httptwitpiccoms woke morningi didnt want leave bed,surprise
busyellebee ur anti understood message sorry left ur dont vote bnp msg end due space,sadness
getting ready drop something man hang friend instead,sadness
dads telling travel alone problem ive done boring,neutral
marketeson damn hot weather freezing oz moment miss summer,surprise
dislocating thumb painful dislocating toe reminded today thankfully toe still feels weird,worry
damn guys arent comet hope win though,worry
glad friday two classes lazy afternoon bad isnt nice warm today,sadness
devonleigh u know wut devy dev sure suck havin id weekends r gone miserable weeks drink plz,hate
nyc right favorite people instead stuck ri,sadness
genevieve hey didnt get,love
kimmelcenter could make philadelphia year would sadly,worry
klzmst,sadness
wow definitely friday gym completely empty id like play wii guess ill vacuum,worry
trying find friends luck,sadness
heading yale grandmother car accident,worry
two loads moving crews done started im done day bad ac doesnt work new place oh life,relief
comes home two days,neutral
broken leg comment please,worry
anberlin welcome seattle really wish could see guys tonight,love
enjoying sunshine park friends pale shirtless footballers attractive im afraid,love
alyseegs nope gone,neutral
oops againreally shouldnt,worry
ryanschartz gah money least bakugan,worry
macbook dying switching iphone,worry
hatcherdogg would love plans,sadness
want noms,worry
hmmm realizedi didnt bday cake birthdayboo hoo,sadness
grossnoises miss yoooouuuu,sadness
watchin tyra bored like always stomach hurts,empty
working today tomorrow dans party yay,love
ultimatum ultimatum matter dress sucks,sadness
go cruches next weeks,neutral
noticed ubertwiter didnt get location right maybe way preview sending would handy,hate
allergies suck eyes r even mor red b think ill stay inside day,empty
shecango knnnowwww im upset going twitter u siss apt like led box nosignal cookout,worry
car shopping kacy yay,happiness
got get ready work would rather fishing,sadness
human anatomy bored mindddd someone save,empty
im pretty boredtried mom going home hour kassi fixing leave aww shes going texas month,worry
many tests todayyy dont feel confident anyy,worry
ankitagaba take shadez away day shadez twpp,sadness
wants eat entire chocolate cheesecake,worry
jon amp kate kids attracted huge tv audience tabloid headlines state labor investigation httptinyurlcomlzt,empty
break kellyaelliot raining,worry
work mad blocking sites fun arent blocking facebook twitter amp youtube,sadness
realized im going home weeks today,neutral
robpattznews die gosh die til movie awards,sadness
matthewjsmall sources say,neutral
jjskidmore front u day waved u didnt eddie izzard,neutral
boulderdiaries afraid going say,neutral
lindentreephoto yeah super crap today stupid writing ugh,hate
wants go enjoy weather tired stuck bed,sadness
haha yea knew yew wanted go would told yew,neutral
jy looking forward mandarin album hope come singapore,happiness
want see next gossip girl episode,sadness
transferring photos annoying want watch,worry
omg seated seth lakeman way far back liking x,surprise
charchaos come us win ms twitter worldis working,neutral
killers coming td banknorth boston pm cant go everyone else go though tickets sale sat,sadness
give year old golden retriever away another family today sad httpbitlysd,neutral
brandihoov comingwont til around cant stay though,happiness
tomgriffola fan bulmers magners pear awesome want slush puppy though hurryup classy omgimpatient,fun
makeupmanmae lmaoha simply wanted go ny,fun
iwanctheworld passed away april really sick genetic disease,worry
im saddo haha actually makes really happy warrens dead though,relief
tattoos seven yet,neutral
edwinisradd never buy bagels tehre feel unloved haha,worry
derekspringer one welcome new cybercriminaloverlords,fun
anachronous miss,sadness
ok im moving someone else took apt wanted least work organizing stuff,worry
boring day today broke cant go see friends band tonight maybe q tomorrow though,sadness
jacobjunior still retarded,neutral
switches cellphone huaaaaa cant sleep buzz bebe,sadness
wow woke read drews blog oh man im seriously crying right,sadness
thethletter love dixie kitchens peach wings fried green tomatoes hope one river oaks stay open,love
really need study many books many updates,neutral
feel like crap,worry
looking littlest tsutsu,neutral
disappointed forgot tweet something really inappropriate graphicphantom yelled whole foods yesterday amp cant remember,sadness
littleradge friend loves spot want go,enthusiasm
wondering get quotdo respondquot list,surprise
traumatized saddened baby squirells found abandoned sidewalk,worry
cloudforest omg awful k wow pyr figured open doorknobs one day crushing jaws,surprise
bummer macbook bugging mac heads want lend helping hand,neutral
still hating whole twitter replies thing feel like im missing bits fixreplies,hate
quite like baseball bball oh odd gridiron match tiny tiny part worlds population calls football,worry
karriedaway look sooooo pretty love dang wish ny could c u ur thang,happiness
tarquianhesa yeah stop making fun got ta get new ones,enthusiasm
loved ones leaving sunday sad,sadness
technne im good day,worry
euripidean oh dear whoops indeed,worry
sexyjenn emailed link pretty sad uh rip jessie kitty,worry
happy pricy landed safely miss already httpmylocmer,love
filling paperwork,neutral
agentm gave sicktomystomach feeling ppl like dont belong regular society ever,sadness
need get away wish money go travel bit miss east coast friends,worry
first officially beautiful day year im stuck inside office magners bbq make,fun
uploading pcd onto itunes xd used certian events caused lt sadly,sadness
talulala really yeah soon,surprise
genuineamy dude miss btw name mix quotdamn man save squot hahaha,worry
dog dug hole backyard well iwas sleeping im grounded,sadness
urgh feeling like crap today bad headache tired blood sugars high,empty
wishing go place brandwkshop httptrimmoxl see theyve got scott bedbury poor,enthusiasm
followers went id follow back cant anything till get interwebnet want followers im interesting,sadness
work man bad job whole team want leave believe would make money wasnt,hate
got rear ended,worry
arcticmonkeysuk thought earlier,worry
danielfelice look like quick post dashboard,neutral
ashdaprincess chill da rihanna bob id problem lol r u school summer,neutral
doesnt rob tweet anymore,worry
glad friday bummed officially working saturdays,relief
another qi startill missing next,sadness
bout get ready work ugh hate workin fridays,sadness
jenn jenn jenn oh oh wont u pass ur itunes knowledge onto,sadness
karliehustle almost imagine call taker mustve felt like taking callespecially young ones home,neutral
maryegilmore ready raining miami though go cavs right,enthusiasm
nickcarter cant see says quotthis video privatequot,neutral
spring awakeningcannot wait start last time im ever boo sad times,sadness
bored waiting class start sigh midterms next week gtlt,worry
